Franjas	Estres	Dulces
3	1.82	1.09
3	1.82	0.97
3	1.82	1.51
3	1.83	0.23
3	1.83	0.82
3	1.83	1.6
3	1.84	1.25
3	1.84	1.05
3	1.84	1.13
3	1.85	1.2
3	1.85	0.93
3	1.85	1.8
3	1.85	1.11
3	1.85	1.92
3	1.85	1.9
3	1.86	1.03
3	1.86	-0.09
3	1.87	0.68
3	1.87	1.1
3	1.87	1
3	1.87	0.72
3	1.88	0.79
3	1.88	0.55
3	1.88	1.44
3	1.88	0.62
3	1.88	0.99
3	1.88	1.57
3	1.89	1.09
3	1.89	1.07
3	1.89	0.92
3	1.89	1.3
3	1.9	0.38
3	1.9	0.75
3	1.9	1.04
3	1.9	1.21
3	1.91	0.81
3	1.91	1.2
3	1.91	1.33
3	1.92	1.24
3	1.92	1.04
3	1.92	0.46
3	1.92	0.44
3	1.92	0.98
3	1.92	0.49
3	1.92	1.1
3	1.93	1.06
3	1.93	0.11
3	1.93	0.59
3	1.93	0.55
2	1.94	-0.73
3	1.94	1.4
3	1.94	0.64
3	1.94	0.56
2	1.94	-1.2
3	1.94	1.11
3	1.95	0.57
3	1.95	0.41
3	1.96	0.65
3	1.96	-0.07
3	1.96	1.64
3	1.96	1.48
3	1.97	1.4
3	1.97	0.24
3	1.97	0.59
3	1.99	0.21
3	1.99	0.62
3	1.99	2.11
3	1.99	0.84
3	1.99	0.79
3	2	1.02
3	2	1.52
3	2.01	1.03
3	2.02	0.44
3	2.02	1.21
3	2.02	1.78
3	2.03	1.63
3	2.03	0.44
3	2.03	1.14
3	2.03	0.64
3	2.04	1.48
3	2.04	1.74
3	2.05	-0.16
3	2.05	0.71
3	2.05	0.63
3	2.06	1.13
3	2.06	0.99
3	2.06	0.97
3	2.07	1.3
3	2.08	1.79
3	2.08	1.16
3	2.09	1.52
3	2.09	0.9
3	2.1	1.19
3	2.11	0.24
3	2.11	1.58
3	2.11	0.2
3	2.11	0.27
3	2.11	0.72
3	2.11	1.55
3	2.12	0.75
3	2.12	1.49
3	2.12	1.07
3	2.13	1.08
3	2.14	1.1
3	2.14	1.66
3	2.14	2.15
2	2.14	-1.07
3	2.15	0.75
3	2.15	1.15
3	2.15	0.62
3	2.16	0.77
3	2.17	0.77
3	2.18	1
3	2.18	1.04
3	2.18	0.82
3	2.18	0.69
3	2.19	0.47
3	2.19	0.22
3	2.19	0.77
3	2.2	0.24
3	2.2	1.35
3	2.2	1.13
3	2.2	0.76
3	2.21	0.87
3	2.22	0.01
3	2.22	0.43
3	2.22	0.83
3	2.23	0.06
3	2.23	0.87
3	2.25	0.38
3	2.28	0.97
3	2.28	1.47
3	2.28	0.71
3	2.29	1.23
3	2.29	1.24
3	2.3	0.72
3	2.31	0.93
3	2.31	1.27
3	2.31	0.59
3	2.32	1.11
3	2.32	0.33
3	2.32	1.29
3	2.33	0.77
3	2.34	-0.24
3	2.34	1.73
3	2.35	1.1
3	2.35	1.11
3	2.36	0.79
3	2.37	1.02
3	2.37	0.56
3	2.38	0.74
3	2.38	2.07
3	2.38	0.98
3	2.39	0.89
3	2.39	1.13
3	2.4	1.46
3	2.4	0.29
3	2.41	0.9
3	2.41	1.1
3	2.41	1.57
3	2.42	1.15
3	2.42	1.36
3	2.42	0.7
3	2.42	0.51
3	2.43	1.72
3	2.43	0.9
3	2.44	0.55
3	2.44	0.2
3	2.44	0.95
3	2.44	0.54
3	2.44	0.73
3	2.45	1.31
3	2.46	0.53
3	2.47	0.15
3	2.47	0.6
3	2.48	0.15
3	2.49	0.7
3	2.49	1.2
3	2.49	1.42
3	2.49	1.71
3	2.49	1.01
3	2.5	0.95
3	2.5	0.97
3	2.5	0.81
3	2.5	1.57
3	2.51	1.69
3	2.51	1.44
3	2.51	0.55
3	2.52	2.02
3	2.52	0.62
3	2.52	1.45
3	2.52	2.01
3	2.52	0.94
3	2.52	1.42
3	2.53	1.5
3	2.54	1.18
3	2.55	1.48
3	2.56	1.93
3	2.56	1.04
3	2.56	1.43
3	2.57	-0.35
3	2.57	1.05
3	2.58	1.01
3	2.58	1.93
3	2.58	0.55
3	2.59	0.09
3	2.59	0.88
3	2.61	1.2
3	2.62	0.64
3	2.64	1.49
3	2.64	1.42
3	2.65	1.03
3	2.65	0.88
3	2.65	0.28
3	2.66	1.67
3	2.68	0.92
3	2.7	1.06
3	2.72	1.85
3	2.72	0.96
3	2.74	0.51
3	2.74	0.57
3	2.75	0.75
3	2.75	1.16
3	2.77	1.69
3	2.79	1.1
3	2.79	1.25
3	2.8	1.88
3	2.82	0.66
3	2.83	1.27
3	2.84	0.97
3	2.85	1.32
3	2.85	1.34
3	2.86	0.96
3	2.86	0.85
3	2.91	0.93
3	2.92	0.76
3	2.92	2.11
3	2.92	-0.32
3	2.93	0.97
3	2.96	0.44
3	3.01	1
3	3.01	0.9
3	3.02	0.9
3	3.04	1.77
3	3.05	1.11
3	3.06	1.42
3	3.14	1.74
3	3.14	1.57
3	3.19	1.25
3	3.35	0.72
3	3.49	0.96
